seed,mtl_accuracy,mtl_macro_f1,mtl_mae_crack,mtl_mae_wear,mlp_accuracy,mlp_macro_f1,mlp_mae_crack,mlp_mae_wear,gain_accuracy,gain_macro_f1,gain_mae_crack,gain_mae_wear
16,0.9555555555555556,0.9551167666718361,0.11454042047262192,0.16032229363918304,0.9611111111111111,0.9610989739302892,0.24523612023622404,0.24844013679807422,-0.005555555555555536,-0.005982207258453109,0.13069569976360212,0.08811784315889118
42,0.9625,0.9620459241358629,0.11997915804386139,0.19162747263908386,0.9597222222222223,0.9597664745118931,0.24694038281988054,0.24623635070354535,0.002777777777777768,0.0022794496239697537,0.12696122477601915,0.05460887806446149
123,0.9638888888888889,0.9637009997762421,0.12003472447395325,0.18383441865444183,0.9597222222222223,0.9596455353720629,0.24287965369157707,0.23635257973123883,0.004166666666666652,0.004055464404179254,0.12284492921762383,0.05251816107679699
145,0.9638888888888889,0.9635732408425007,0.11049939692020416,0.15906184911727905,0.9597222222222223,0.9595192841547302,0.22367177592429907,0.2286798823592527,0.004166666666666652,0.004053956687770532,0.11317237900409491,0.06961803324197366
152,0.9708333333333333,0.9706188736730531,0.1201060488820076,0.15120847523212433,0.9527777777777777,0.9525244952238964,0.21872644265771563,0.25190704589768254,0.018055555555555602,0.018094378449156734,0.09862039377570803,0.1006985706655582
521,0.9652777777777778,0.964955426102831,0.12302814424037933,0.15936151146888733,0.9625,0.9624599596007282,0.2092734327860989,0.21860019079299342,0.002777777777777768,0.002495466502102861,0.08624528854571956,0.05923867932410609
1102,0.9763888888888889,0.9761894290688109,0.12088820338249207,0.17191553115844727,0.9680555555555556,0.9678804314649767,0.22541736962528805,0.2452941628275057,0.008333333333333304,0.00830899760383419,0.10452916624279598,0.07337863166905845
2111,0.9611111111111111,0.9605933482158795,0.1252908855676651,0.16286101937294006,0.9486111111111111,0.9484056658308528,0.21986321306149553,0.25669836498168047,0.012500000000000067,0.012187682385026655,0.09457232749383043,0.09383734560874041
27182,0.9638888888888889,0.9637636839287259,0.1217314675450325,0.15993960201740265,0.9569444444444445,0.956921010613705,0.2032381274330004,0.2400536461974708,0.00694444444444442,0.006842673315020864,0.0815066598879679,0.08011404418006815
31415,0.9666666666666667,0.9664251789515652,0.12922848761081696,0.17943541705608368,0.9597222222222223,0.9595663478591545,0.23393376012443667,0.2557376058268497,0.00694444444444442,0.0068588310924107,0.10470527251361972,0.076302188770766
