metric,unit,n_pairs,mtl_mean,mtl_std,mlp_mean,mlp_std,mean_paired_gain,gain_std,ci95_lower,ci95_upper,wilcoxon_statistic,p_value_raw,rank_biserial,mtl_better_seeds,ties,p_value_holm,significant_holm_0.05
Accuracy,,10,0.9650000000000001,0.0055863344922215934,0.9588888888888889,0.005286704601340834,0.006111111111111111,0.006286757480284441,0.0024965277777778275,0.00986111111111112,5.0,0.021484375,0.8181818181818182,9,0,0.0390625,True
Macro-F1,,10,0.9646982871367307,0.0056664004395968765,0.9587788178562289,0.005321223126747972,0.005919469280501843,0.006399145382841664,0.0021634319238578526,0.009743316059755803,5.0,0.01953125,0.8181818181818182,9,0,0.0390625,True
Crack MAE,cm,10,0.12053269371390343,0.00519998637210516,0.2269180278360016,0.015063470277190962,0.10638533412209816,0.016872142262117345,0.09649336969204221,0.11631053011787332,0.0,0.001953125,1.0,10,0,0.0078125,True
Wear MAE,cm,10,0.16795675903558732,0.013088856027360823,0.24279999661162935,0.012144706900634803,0.07484323757604207,0.01638491141239444,0.06526046978755114,0.08458393827276278,0.0,0.001953125,1.0,10,0,0.0078125,True
