,Accuracy,Precision (weighted),Recall (weighted),F1-score (weighted)
MLP,0.9899305555555555,0.9901823771415669,0.9899305555555555,0.9898989299624193
SVM,0.9791666666666666,0.9802117989187661,0.9791666666666666,0.9789683987348758
KNN,0.909375,0.9109768715660422,0.909375,0.9084411886159998
Decision Tree,0.7572916666666667,0.7866948688680544,0.7572916666666667,0.7448956476719703
Naive Bayes,0.6388888888888888,0.6254295190987675,0.6388888888888888,0.6163544190098401
Logistic Regression,0.5993055555555555,0.5788109404075922,0.5993055555555555,0.5794718004704988
