,MAE,RMSE,R2,MAPE (%)
SVR,0.11232076692737052,0.30395326121086563,0.9687271615243668,3.0965640040018734
KNN,0.15362689172228178,0.39497074625172146,0.9471939663736528,4.3593650146090965
MLP,0.18542665876448156,0.2842556960294685,0.9726490737236994,5.030770872157516
DecisionTree,0.25171874624987445,0.7585038682435964,0.8052536679148232,7.904109804690883
Ridge,0.815438770626982,0.9928617607383076,0.6663191709241058,22.712263606654766
Lasso,0.8155384385337432,0.9928631978981671,0.6663182049224738,22.71447580014992
ElasticNet,0.8159009585777919,0.9929787576415655,0.6662405256878825,22.73614414924867
