severity,n,MAE_cm,MAE_mm,RMSE_cm,STD_cm,Median_cm,Max_cm
Slight,120,0.28606076836586,2.8606076836586,0.471247289382244,0.3760608450931144,0.1585240364074707,2.0732829570770264
Moderate,120,0.13368674516677856,1.3368674516677856,0.2004103922416114,0.1499316801897462,0.07260274887084961,0.6940021514892578
Severe,240,0.09412397046883901,0.9412397046883901,0.18479768912350103,0.15936336970452833,0.05168628692626953,1.8747687339782715
