severity,n,MAE_cm,MAE_mm,RMSE_cm,STD_cm,Median_cm,Max_cm
Slight,120,0.1327167014280955,1.327167014280955,0.3469267599789097,0.3218817371709857,0.039313673973083496,1.9153661727905273
Moderate,120,0.09042727251847585,0.9042727251847585,0.1513874610566462,0.12192188606877881,0.0429612398147583,0.7576465606689453
Severe,240,0.1197013109922409,1.197013109922409,0.17321095339953527,0.12545601049112634,0.08894181251525879,1.114455223083496
