Feature,Family,Q1,Q3,IQR,Skewness,Lower_Tukey_fence,Upper_Tukey_fence,Minimum,Maximum,Q99,Maximum_to_Q99_ratio,Lower_outlier_count,Lower_outlier_percent,Upper_outlier_count,Upper_outlier_percent,Candidate_for_upper_winsorization
FC_Hz,Global frequency,12.584883689880371,22.369350910186768,9.784467220306396,1.056551416011581,-2.0918171405792236,37.04605174064636,4.282718181610107,64.9129638671875,42.768718032836915,1.517767350832183,0,0.0,63,2.1875,False
FRMS_Hz,Global frequency,30.165943145751953,39.60781002044678,9.441866874694824,0.5098287756016688,16.003142833709717,53.770610332489014,17.733156204223633,74.0250473022461,54.62305980682373,1.355197741833543,0,0.0,36,1.25,False
FRVF_Hz,Global frequency,27.33626365661621,32.5396728515625,5.203409194946289,-0.37430891172530484,19.531149864196777,40.344786643981934,17.208229064941406,43.18193435668945,36.83110107421875,1.1724312631781784,8,0.2777777777777778,1,0.034722222222222224,False
m0,Spectral moment,0.0033257293980568647,0.005714741884730756,0.0023890124866738915,0.6429143210145432,-0.0002577893319539726,0.009298260614741594,0.000561604043468833,0.01271186675876379,0.009290348207578066,1.3682874392581774,0,0.0,29,1.0069444444444444,False
m1,Spectral moment,0.058735442347824574,0.08897292986512184,0.030237487517297268,1.0542847126947883,0.013379211071878672,0.13432916114106774,0.024363147094845772,0.22466310858726501,0.14878128364682203,1.5100226525842575,0,0.0,69,2.3958333333333335,False
m2,Spectral moment,4.316056251525879,6.126890420913696,1.8108341693878174,0.9988010649677135,1.5998049974441528,8.843141674995422,2.174929141998291,13.969125747680664,9.672768802642823,1.4441703335102951,0,0.0,62,2.1527777777777777,False
a1,Peak amplitude,0.01997174182906747,0.02489739377051592,0.00492565194144845,0.39048438456360907,0.012583263916894794,0.032285871682688594,0.01193545013666153,0.038046035915613174,0.03361441880464554,1.1318367911318814,3,0.10416666666666667,44,1.5277777777777777,False
a2,Peak amplitude,0.01470179297029972,0.019905255176126957,0.005203462205827236,0.5195469871765245,0.0068965996615588665,0.02771044848486781,0.007897005416452885,0.033573687076568604,0.028102067261934285,1.1947052422739701,0,0.0,39,1.3541666666666667,False
a3,Peak amplitude,0.009442965732887387,0.012734717689454556,0.0032917519565671682,0.3037783897835875,0.004505337798036635,0.017672345624305308,0.0035005095414817333,0.0219537653028965,0.0176322765275836,1.2450896665868667,2,0.06944444444444445,28,0.9722222222222222,False
a4,Peak amplitude,0.005135372979566455,0.007713109254837036,0.0025777362752705812,0.7931924735426384,0.001268768566660583,0.011579713667742908,0.0014808911364525557,0.017238283529877663,0.012686725612729788,1.35876537856079,0,0.0,72,2.5,False
a5,Peak amplitude,0.0036872439668513834,0.005634311819449067,0.0019470678525976837,0.9662227586087071,0.0007666421879548579,0.008554913598345593,0.0009079471346922219,0.013569704256951809,0.01010066244751215,1.3434469597876824,0,0.0,76,2.638888888888889,False
f1_Hz,Peak frequency,55.599998474121094,57.20000076293945,1.6000022888183594,-0.8828909638008974,53.199995040893555,59.60000419616699,51.599998474121094,58.79999923706055,58.79999923706055,1.0,74,2.569444444444444,0,0.0,False
f2_Hz,Peak frequency,55.599998474121094,57.20000076293945,1.6000022888183594,-0.7955643067448985,53.199995040893555,59.60000419616699,51.20000076293945,58.400001525878906,58.400001525878906,1.0,115,3.9930555555555554,0,0.0,False
f3_Hz,Peak frequency,55.599998474121094,57.20000076293945,1.6000022888183594,-0.7422219345135107,53.199995040893555,59.60000419616699,51.20000076293945,59.20000076293945,59.20000076293945,1.0,74,2.569444444444444,0,0.0,False
f4_Hz,Peak frequency,55.20000076293945,56.79999923706055,1.5999984741210938,16.29056224526823,52.80000305175781,59.19999694824219,50.79999923706055,116.0,58.400001525878906,1.9863013179648068,114,3.958333333333333,9,0.3125,True
f5_Hz,Peak frequency,55.20000076293945,57.20000076293945,2.0,10.7706283940988,52.20000076293945,60.20000076293945,50.79999923706055,168.39999389648438,58.79999923706055,2.8639455115901598,14,0.4861111111111111,23,0.798611111111111,True
