experiment,seed,epochs_trained,test_accuracy,test_macro_f1,test_mae_crack,test_mae_wear,description,apply_yeo_johnson,apply_winsorization,baseline_test_accuracy,baseline_test_macro_f1,baseline_test_mae_crack,baseline_test_mae_wear,delta_test_accuracy,delta_test_macro_f1,delta_test_mae_crack,delta_test_mae_wear
P0_full_pipeline,16,327,0.9555555555555556,0.9551167666718361,0.11454042047262192,0.16032229363918304,Yeo-Johnson + winsorization,True,True,0.9555555555555556,0.9551167666718361,0.11454042047262192,0.16032229363918304,0.0,0.0,0.0,0.0
P0_full_pipeline,42,266,0.9625,0.9620459241358629,0.11997915804386139,0.19162747263908386,Yeo-Johnson + winsorization,True,True,0.9625,0.9620459241358629,0.11997915804386139,0.19162747263908386,0.0,0.0,0.0,0.0
P0_full_pipeline,123,254,0.9638888888888889,0.9637009997762421,0.12003472447395325,0.18383441865444183,Yeo-Johnson + winsorization,True,True,0.9638888888888889,0.9637009997762421,0.12003472447395325,0.18383441865444183,0.0,0.0,0.0,0.0
P0_full_pipeline,145,296,0.9638888888888889,0.9635732408425007,0.11049939692020416,0.15906184911727905,Yeo-Johnson + winsorization,True,True,0.9638888888888889,0.9635732408425007,0.11049939692020416,0.15906184911727905,0.0,0.0,0.0,0.0
P0_full_pipeline,152,295,0.9708333333333333,0.9706188736730531,0.1201060488820076,0.15120847523212433,Yeo-Johnson + winsorization,True,True,0.9708333333333333,0.9706188736730531,0.1201060488820076,0.15120847523212433,0.0,0.0,0.0,0.0
P0_full_pipeline,521,279,0.9652777777777778,0.964955426102831,0.12302814424037933,0.15936151146888733,Yeo-Johnson + winsorization,True,True,0.9652777777777778,0.964955426102831,0.12302814424037933,0.15936151146888733,0.0,0.0,0.0,0.0
P0_full_pipeline,1102,279,0.9763888888888889,0.9761894290688109,0.12088820338249207,0.17191553115844727,Yeo-Johnson + winsorization,True,True,0.9763888888888889,0.9761894290688109,0.12088820338249207,0.17191553115844727,0.0,0.0,0.0,0.0
P0_full_pipeline,2111,298,0.9611111111111111,0.9605933482158795,0.1252908855676651,0.16286101937294006,Yeo-Johnson + winsorization,True,True,0.9611111111111111,0.9605933482158795,0.1252908855676651,0.16286101937294006,0.0,0.0,0.0,0.0
P0_full_pipeline,27182,366,0.9638888888888889,0.9637636839287259,0.1217314675450325,0.15993960201740265,Yeo-Johnson + winsorization,True,True,0.9638888888888889,0.9637636839287259,0.1217314675450325,0.15993960201740265,0.0,0.0,0.0,0.0
P0_full_pipeline,31415,221,0.9666666666666667,0.9664251789515652,0.12922848761081696,0.17943541705608368,Yeo-Johnson + winsorization,True,True,0.9666666666666667,0.9664251789515652,0.12922848761081696,0.17943541705608368,0.0,0.0,0.0,0.0
