experiment,description,apply_yeo_johnson,apply_winsorization,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mae_crack_mean,mae_crack_std,mae_wear_mean,mae_wear_std,delta_accuracy_mean,delta_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_mae_crack_mean,delta_mae_crack_std,delta_mae_wear_mean,delta_mae_wear_std
P0_full_pipeline,Yeo-Johnson + winsorization,True,True,0.9650000000000001,0.005586334492221629,0.9646982871367307,0.005666400439596899,0.12053269371390343,0.00519998637210516,0.16795675903558732,0.013088856027360825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_winsorization,Yeo-Johnson without winsorization,True,False,0.9684722222222222,0.0037065960928237243,0.9683081797123114,0.003722794130858759,0.11474160328507424,0.010785892479673364,0.16048201620578767,0.011837925950723706,0.00347222222222221,0.0061156688951957685,0.0036098925755805866,0.006222287767473092,-0.005791090428829193,0.008538887665509783,-0.007474742829799652,0.010903516659143919
P2_no_yeo_johnson,Winsorization without Yeo-Johnson,False,True,0.9666666666666666,0.004766495435642122,0.9664355891887556,0.004790406774506623,0.12073664143681526,0.008129302382065837,0.16457377523183822,0.01433311943959898,0.0016666666666666607,0.007796494235192892,0.0017373020520249026,0.00786260147224402,0.00020394772291183473,0.006864495508905605,-0.0033829838037490846,0.016793033419610956
P3_no_winsorization_no_yeo_johnson,Neither Yeo-Johnson nor winsorization,False,False,0.9641666666666667,0.005147015596180501,0.9638459868992653,0.005193956861744377,0.12862352207303046,0.02766378435017383,0.17518990039825438,0.028140952887679982,-0.0008333333333333415,0.007696889792822366,-0.0008523002374653865,0.007741841812969768,0.008090828359127045,0.02512654825627818,0.007233141362667084,0.027619626266790487
