loss,out_cls_accuracy,out_cls_loss,out_crack_loss,out_crack_mae,out_wear_loss,out_wear_mae,val_loss,val_out_cls_accuracy,val_out_cls_loss,val_out_crack_loss,val_out_crack_mae,val_out_wear_loss,val_out_wear_mae
25.37253189086914,0.2282986044883728,2.247239828109741,7.238121032714844,2.7156355381011963,5.403768539428711,2.909147262573242,13.39153003692627,0.3680555522441864,1.877289056777954,3.5828824043273926,2.309370756149292,2.535222291946411,2.496267318725586
10.584339141845703,0.4105902910232544,1.7505154609680176,2.698009490966797,2.1727168560028076,1.9260365962982178,2.4150424003601074,7.064141273498535,0.5260416865348816,1.538362741470337,1.5968486070632935,1.9337106943130493,1.1868940591812134,2.1778416633605957
6.351723670959473,0.5243055820465088,1.4826310873031616,1.3340418338775635,1.8589177131652832,1.0982398986816406,2.1929759979248047,5.211930751800537,0.5833333134651184,1.335721492767334,1.0454860925674438,1.7293813228607178,0.8202027678489685,2.05720853805542
5.024337291717529,0.5698784589767456,1.3270496129989624,0.9557220935821533,1.7242742776870728,0.8200070858001709,2.107731819152832,4.477675914764404,0.6111111044883728,1.2099461555480957,0.83005690574646,1.6692371368408203,0.7007486820220947,1.989023208618164
4.3882904052734375,0.5842013955116272,1.207229495048523,0.8201784491539001,1.6810157299041748,0.6559425592422485,2.0815136432647705,3.9216253757476807,0.6475694179534912,1.1049838066101074,0.6985939145088196,1.6081557273864746,0.5750158429145813,1.9418509006500244
3.9557321071624756,0.6354166865348816,1.096020221710205,0.7061545848846436,1.6438634395599365,0.593458354473114,2.031322956085205,3.531637191772461,0.6979166865348816,1.0182251930236816,0.6098201274871826,1.5895991325378418,0.49086326360702515,1.9329392910003662
3.5078580379486084,0.6566840410232544,1.0227694511413574,0.5902571678161621,1.598793387413025,0.4980335235595703,1.9842207431793213,3.192186117172241,0.7291666865348816,0.9370139241218567,0.5343372225761414,1.5827926397323608,0.4192458987236023,1.894816279411316
3.2824134826660156,0.6927083134651184,0.9482690095901489,0.5418674945831299,1.5596692562103271,0.4617316424846649,1.9529980421066284,2.9575467109680176,0.7430555820465088,0.8668997287750244,0.47808367013931274,1.5442538261413574,0.3843718469142914,1.9294207096099854
3.0924620628356934,0.7209201455116272,0.8702185153961182,0.5137677192687988,1.5758249759674072,0.42450785636901855,1.9276148080825806,2.7935280799865723,0.7552083134651184,0.8110007047653198,0.44766631722450256,1.534114122390747,0.35283464193344116,1.8739888668060303
2.827784299850464,0.7374131679534912,0.8148516416549683,0.43252021074295044,1.5378875732421875,0.393313467502594,1.9329503774642944,2.615993022918701,0.7638888955116272,0.7558321356773376,0.4026803970336914,1.5023928880691528,0.3312991261482239,1.873607873916626
